City,Country,CDP Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGCPorICLEIProtocolScore,NumberOfGHGReported,GHGScore,TransparancyScore,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,EmissionsImpactScore,OverallScore
San Nicolás de los Arroyos,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,145857,Do not know,1,1.25
Santa Anita (Argentina),Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,1848,This is our first year of calculation,1,1.25
"Santa Cruz, CA",United States of America,North America,1,0,2015,1,2,3,1,1.5,Not reported,1,Not reported,1,64608,Decreased,1,1.25
Seberang Perai Municipal Council,Malaysia,Southeast Asia and Oceania,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,1108000,Decreased,1,1.25
Siliguri,India,South and West Asia,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,513264,Increased,1,1.25
South Bend,United States of America,North America,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,102026,This is our first year of calculation,1,1.25
Surrey,Canada,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,557310,Increased,1,1.25
Tafi Viejo,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,56407,Not able to calculate,1,1.25
Takoma Park,United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,17765,Decreased,1,1.25
Tapalqué,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,9178,Do not know,1,1.25
Tawau Municipal Council,Malaysia,Southeast Asia and Oceania,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,499200,This is our first year of calculation,1,1.25
Thane Municipal Corporation,India,South and West Asia,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,2281692,This is our first year of calculation,1,1.25
Tilisarao,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,6256,Do not know,1,1.25
Totoras,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,10292,This is our first year of calculation,1,1.25
"Town of York, ME",United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,13151,This is our first year of calculation,1,1.25
Transito,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,3396,This is our first year of calculation,1,1.25
Tweed Shire Council,Australia,Southeast Asia and Oceania,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,96108,Increased,1,1.25
Udaipur Municipal Corporation,India,South and West Asia,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,451100,This is our first year of calculation,1,1.25
Uranga,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,902,Increased,1,1.25
Uruguay,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,79045,This is our first year of calculation,1,1.25
Vail,United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,5434,This is our first year of calculation,1,1.25
Valledupa,Colombia,Latin America,1,0,2013,1,2,3,1,1.5,Not reported,1,Not reported,1,453212,Not able to calculate,1,1.25
Villa Amelia,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,1488,This is our first year of calculation,1,1.25
Villa Carlos Paz,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,67748,This is our first year of calculation,1,1.25
Villa de Merlo,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,24379,This is our first year of calculation,1,1.25
Villa de Soto,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,10761,This is our first year of calculation,1,1.25
Villa Eloisa,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,3144,Do not know,1,1.25
Villa General Belgrano,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,8257,Do not know,1,1.25
Villa Gobernador Gálvez,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,87131,This is our first year of calculation,1,1.25
Villa Pehuenia,Argentina,Latin America,1,0,2015,1,2,3,1,1.5,Not reported,1,Not reported,1,1611,This is our first year of calculation,1,1.25
Villarino,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,35334,This is our first year of calculation,1,1.25
Wandsworth,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,332500,This is our first year of calculation,1,1.25
West Midlands Combined Authority,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,2928592,This is our first year of calculation,1,1.25
Wolverhampton,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,265809,This is our first year of calculation,1,1.25
York,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2020,2,1,3,1,1.5,Not reported,1,Not reported,1,209900,This is our first year of calculation,1,1.25
Melton City Council,Australia,Southeast Asia and Oceania,1,0,2017,1,2,3,1,1.5,2363195,1,Not reported,1,0,Not able to calculate,1,1.25
Suwon,Republic of Korea,East Asia,5,2,2017,1,2,3,1,2,5736865,0,4.644885041,1,1235093,Decreased,0.5,1.25
Roma,Italy,Europe,5,2,2015,1,2,3,1,2,16736522,0,5.87641446,1,2848084,Decreased,0.5,1.25
Iskandar,Malaysia,Southeast Asia and Oceania,5,2,2017,1,2,3,1,2,16200490,0,7.751430622,1,2090000,Increased,0.5,1.25
San Antonio,United States of America,North America,1,0,2016,1,2,5,2,2,14770253,0,9.546113661,1,1547253,Decreased,0.5,1.25
Denton,United States of America,North America,4,2,2018,1,2,3,1,2,1604007,1,11.33245491,0,141541,Decreased,0.5,1.25
Miami Beach,United States of America,North America,5,2,2018,1,2,3,1,2,1199536.16,1,13.0631429,0,91826,Stayed the same,0.5,1.25
Tempe,United States of America,North America,5,2,2015,1,2,3,1,2,3187650.72,1,16.57093178,0,192364,Do not know,0.5,1.25
Austin,United States of America,North America,1,0,2018,1,2,7,2,2.5,11998240,0,12.4430285,0,964254,Increased,0,1.25
Dallas,United States of America,North America,1,0,2015,1,2,7,2,2.5,19527127,0,14.51780272,0,1345047,Decreased,0,1.25
Louisville,United States of America,North America,1,0,2016,1,2,7,2,2.5,16000537,0,20.90611509,0,765352,Decreased,0,1.25
Taichung,"Taiwan, Greater China",East Asia,1,0,2018,1,2,7,2,2.5,62173728,0,22.07155127,0,2816917,Increased,0,1.25
Ljubljana,Slovenia,Europe,1,0,2019,2,1,3,1,1.5,2060963,1,7.008790902,1,294054,Decreased,1,1.25
Banyuwangi City,Indonesia,Southeast Asia and Oceania,1,0,2019,2,1,3,1,1.5,Not reported,1,Not reported,1,1745675,This is our first year of calculation,1,1.25
Cuenca,Ecuador,Latin America,1,0,2019,2,2,2,1,1.5,Not reported,1,Not reported,1,505585,Do not know,1,1.25
Dubai,United Arab Emirates,Middle East,1,0,2019,2,1,3,1,1.5,Not reported,1,Not reported,1,3335900,Increased,1,1.25
Gangdong-gu,Republic of Korea,East Asia,1,0,2019,2,1,3,1,1.5,Not reported,1,Not reported,1,455042,Not able to calculate,1,1.25
Malang City,Indonesia,Southeast Asia and Oceania,1,0,2019,2,1,3,1,1.5,Not reported,1,Not reported,1,861414,Increased,1,1.25
Maplewood,United States of America,North America,1,0,2019,2,1,3,1,1.5,Not reported,1,Not reported,1,25380,Decreased,1,1.25
Miraflores,Peru,Latin America,1,0,2019,2,2,2,1,1.5,Not reported,1,Not reported,1,99337,Not able to calculate,1,1.25
Montes de Oca,Costa Rica,Latin America,1,0,2021,2,1,3,1,1.5,Not reported,1,Not reported,1,49132,This is our first year of calculation,1,1.25
Murcia,Spain,Europe,1,0,2019,2,1,3,1,1.5,Not reported,1,Not reported,1,453258,Decreased,1,1.25
"Summit County, UT",United States of America,North America,1,0,2019,2,1,3,1,1.5,Not reported,1,Not reported,1,42145,Increased,1,1.25
Urla,Turkey,Europe,1,0,2019,2,1,3,1,1.5,Not reported,1,Not reported,1,240,Increased,1,1.25
Zarcero,Costa Rica,Latin America,1,0,2019,2,1,3,1,1.5,Not reported,1,Not reported,1,12205,This is our first year of calculation,1,1.25
San Luis Potosí,Mexico,Latin America,2,1,2015,1,1,0,1,0.75,1320629.99,1,1.60226101,2,824229,Increased,1.5,1.125
Genova,Italy,Europe,1,0,2017,1,1,1,1,0.75,1810370,1,3.145313312,2,575577,Decreased,1.5,1.125
Basel-Stadt,Switzerland,Europe,1,0,2016,1,2,0,1,0.75,825704,2,4.165888015,1,198206,This is our first year of calculation,1.5,1.125
Groningen,Netherlands,Europe,1,0,2017,1,1,1,1,0.75,859000,2,4.284289277,1,200500,Decreased,1.5,1.125
Elsinore,Denmark,Europe,1,0,2015,1,1,1,1,0.75,294549,2,4.779156931,1,61632,Decreased,1.5,1.125
"Davis, CA",United States of America,North America,1,0,2009,1,2,0,1,0.75,348347,2,5.310167683,1,65600,Decreased,1.5,1.125
Gladsaxe Kommune,Denmark,Europe,1,0,2014,1,2,0,1,0.75,362078,2,5.432039126,1,66656,Decreased,1.5,1.125
Hoeje-Taastrup Kommune,Denmark,Europe,1,0,2014,1,2,0,1,0.75,297000,2,5.93976241,1,50002,Decreased,1.5,1.125
Udine,Italy,Europe,1,0,2013,1,2,0,1,0.75,613588,2,6.164978699,1,99528,Stayed the same,1.5,1.125
"Hermosa Beach, CA",United States of America,North America,1,0,2012,1,2,0,1,0.75,126611,2,6.410683544,1,19750,Decreased,1.5,1.125
Guelph,Canada,North America,1,0,2017,1,2,2,1,1.25,1060158,1,8.044053599,1,131794,Decreased,1,1.125
Alton,United States of America,North America,5,2,2013,1,2,0,1,1.25,401079,2,15.08893571,0,26581,This is our first year of calculation,1,1.125
Ä°zmir,Turkey,Europe,1,0,2014,1,1,3,1,1.25,Not reported,1,Not reported,1,"4,320,519",Not able to calculate,1,1.125
Abidjan,Côte d'Ivoire,Africa,1,0,None reported,0,2,3,1,1.25,Not reported,1,Not reported,1,"5,052,000",Not able to calculate,1,1.125
Albuquerque,United States of America,North America,1,0,2017,1,1,3,1,1.25,Not reported,1,Not reported,1,560513,Not able to calculate,1,1.125
Balikesir,Turkey,Europe,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,1228620,Not able to calculate,1,1.125
Bergen,Norway,Europe,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,283929,This is our first year of calculation,1,1.125
Blantyre,Malawi,Africa,1,0,2020,2,2,1,1,1.25,Not reported,1,Not reported,1,1000000,Increased,1,1.125
Bogor Regency,Indonesia,Southeast Asia and Oceania,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,5965410,This is our first year of calculation,1,1.125
Breckenridge,United States of America,North America,1,0,2017,1,2,2,1,1.25,Not reported,1,Not reported,1,5020,This is our first year of calculation,1,1.125
Bursa,Turkey,Europe,1,0,2014,1,1,3,1,1.25,Not reported,1,Not reported,1,2994521,Increased,1,1.125
Cagayan de Oro,Philippines,Southeast Asia and Oceania,1,0,2016,1,1,3,1,1.25,Not reported,1,Not reported,1,675950,This is our first year of calculation,1,1.125
Chapala,Mexico,Latin America,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,601263,Not able to calculate,1,1.125
Chengdu,China,East Asia,1,0,2017,1,1,3,1,1.25,Not reported,1,Not reported,1,16581000,Not able to calculate,1,1.125
Dijon,France,Europe,1,0,2016,1,1,3,1,1.25,Not reported,1,Not reported,1,257933,Decreased,1,1.125
Grand Rapids,United States of America,North America,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,201013,This is our first year of calculation,1,1.125
Hannover,Germany,Europe,1,0,2015,1,1,3,1,1.25,Not reported,1,Not reported,1,544700,Not able to calculate,1,1.125
Independencia,Chile,Latin America,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,105794,This is our first year of calculation,1,1.125
Jambi City,Indonesia,Southeast Asia and Oceania,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,604378,Not able to calculate,1,1.125
KadÄ±köy,Turkey,Europe,1,0,2016,1,1,3,1,1.25,Not reported,1,Not reported,1,482713,Decreased,1,1.125
Kampala,Uganda,Africa,1,0,2017,1,1,3,1,1.25,Not reported,1,Not reported,1,1631210,This is our first year of calculation,1,1.125
Kemi,Finland,Europe,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,20742,Stayed the same,1,1.125
Kingston,Canada,North America,1,0,2017,1,2,2,1,1.25,Not reported,1,Not reported,1,124000,Not able to calculate,1,1.125
Kinmen County,"Taiwan, Greater China",East Asia,1,0,2017,1,1,3,1,1.25,Not reported,1,Not reported,1,137456,Increased,1,1.125
La Unión,Costa Rica,Latin America,1,0,2017,1,1,3,1,1.25,Not reported,1,Not reported,1,112508,This is our first year of calculation,1,1.125
Lincoln (Argentina),Argentina,Latin America,1,0,None reported,0,2,3,1,1.25,Not reported,1,Not reported,1,42346,This is our first year of calculation,1,1.125
Moab,United States of America,North America,1,0,2018,1,2,2,1,1.25,Not reported,1,Not reported,1,5306,Increased,1,1.125
Municipalidad de Cañas,Costa Rica,Latin America,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,26201,This is our first year of calculation,1,1.125
Municipalidad de Quepos,Costa Rica,Latin America,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,26861,This is our first year of calculation,1,1.125
Muntinlupa,Philippines,Southeast Asia and Oceania,1,0,2017,1,1,3,1,1.25,Not reported,1,Not reported,1,504509,This is our first year of calculation,1,1.125
Pasig,Philippines,Southeast Asia and Oceania,1,0,2010,1,1,3,1,1.25,Not reported,1,Not reported,1,772695,Not able to calculate,1,1.125
Peñalolén,Chile,Latin America,1,0,2017,1,1,3,1,1.25,Not reported,1,Not reported,1,241599,This is our first year of calculation,1,1.125
Puerto Princesa,Philippines,Southeast Asia and Oceania,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,255116,This is our first year of calculation,1,1.125
Reconquista,Argentina,Latin America,1,0,None reported,0,2,3,1,1.25,Not reported,1,Not reported,1,78570,This is our first year of calculation,1,1.125
San Carlos City,Philippines,Southeast Asia and Oceania,1,0,2015,1,1,3,1,1.25,Not reported,1,Not reported,1,132536,This is our first year of calculation,1,1.125
San José,Costa Rica,Latin America,1,0,2017,1,1,3,1,1.25,Not reported,1,Not reported,1,344851,Increased,1,1.125
Santa Fé Ciudad,Argentina,Latin America,1,0,None reported,0,2,3,1,1.25,Not reported,1,Not reported,1,398927,This is our first year of calculation,1,1.125
Semarang City Government,Indonesia,Southeast Asia and Oceania,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,1674358,Decreased,1,1.125
Tagum City,Philippines,Southeast Asia and Oceania,1,0,2016,1,1,3,1,1.25,Not reported,1,Not reported,1,259444,This is our first year of calculation,1,1.125
Trondheim,Norway,Europe,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,205000,Increased,1,1.125
Vitoria-Gasteiz,Spain,Europe,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,252574,Decreased,1,1.125
Wuhan,China,East Asia,1,0,2016,1,1,3,1,1.25,Not reported,1,Not reported,1,11081000,Decreased,1,1.125
Xalapa,Mexico,Latin America,1,0,2010,1,1,3,1,1.25,Not reported,1,Not reported,1,480841,Do not know,1,1.125
Yogyakarta,Indonesia,Southeast Asia and Oceania,1,0,2016,1,1,3,1,1.25,Not reported,1,Not reported,1,422732,Decreased,1,1.125
Zagreb,Croatia,Europe,1,0,2015,1,1,3,1,1.25,Not reported,1,Not reported,1,802762,Not able to calculate,1,1.125
Zapopan,Mexico,Latin America,1,0,2016,1,1,3,1,1.25,Not reported,1,Not reported,1,1332272,Not able to calculate,1,1.125
Zhenjiang,China,East Asia,1,0,2018,1,1,3,1,1.25,Not reported,1,Not reported,1,3186300,Do not know,1,1.125
Philadelphia,United States of America,North America,1,0,2016,1,2,4,2,1.75,14825395,0,9.533574651,1,1555072,Decreased,0.5,1.125
Changwon,Republic of Korea,East Asia,1,0,2017,1,1,5,2,1.75,10257440,0,9.562646773,1,1072657,Increased,0.5,1.125
Mornington Peninsula Shire,Australia,Southeast Asia and Oceania,1,0,2018,1,2,4,2,1.75,1858540,1,11.55362982,0,160862,Increased,0.5,1.125
Boulder County,United States of America,North America,1,0,2016,1,2,4,2,1.75,3998878,1,12.41016554,0,322226,Decreased,0.5,1.125
Kaohsiung,"Taiwan, Greater China",East Asia,1,0,2018,1,1,7,2,2.25,36056822,0,13.0018924,0,2773198,Increased,0,1.125
Chihuahua,Mexico,Latin America,1,0,2015,1,1,7,2,2.25,14330261,0,15.13386947,0,946900,Decreased,0,1.125
Yilan County,"Taiwan, Greater China",East Asia,1,0,2016,1,1,7,2,2.25,8691225,0,19.09231999,0,455221,Decreased,0,1.125
Indianapolis,United States of America,North America,1,0,2016,1,2,6,2,2.25,18687167,0,21.41353875,0,872680,Decreased,0,1.125
Mandurah,Australia,Southeast Asia and Oceania,1,0,2019,2,2,1,1,1.25,Not reported,1,Not reported,1,92594,This is our first year of calculation,1,1.125
New York City,United States of America,North America,1,0,2019,2,2,3,1,1.75,51735403,0,6.159709846,1,8399000,Increased,0.5,1.125
San Diego,United States of America,North America,1,0,2019,2,2,3,1,1.75,12624227,0,8.852894109,1,1426000,Decreased,0.5,1.125
Ann Arbor,United States of America,North America,1,0,2019,2,2,3,1,1.75,1420000,1,11.64984822,0,121890,Decreased,0.5,1.125
Flagstaff,United States of America,North America,1,0,2019,2,2,3,1,1.75,1424563,1,18.98455449,0,75038,Increased,0.5,1.125
Goiânia,Brazil,Latin America,1,0,2017,1,1,0,1,0.5,2016320,1,1.548761341,2,1301892,Not able to calculate,1.5,1
Vilnius,Lithuania,Europe,2,1,2014,1,0,0,1,0.5,1944330,1,3.583186209,2,542626,Not able to calculate,1.5,1
Águeda,Portugal,Europe,1,0,2013,1,1,0,1,0.5,258882,2,5.423997989,1,47729,Not able to calculate,1.5,1
Stadt Heidelberg,Germany,Europe,1,0,2011,1,1,0,1,0.5,879900,2,6.070452852,1,144948,Decreased,1.5,1
Guaratinguetá,Brazil,Latin America,1,0,2015,1,1,0,1,0.5,548195.98,2,Not reported,1,0,This is our first year of calculation,1.5,1
Ho Chi Minh,Viet Nam,Southeast Asia and Oceania,1,0,2013,1,2,1,1,1,19432078,0,2.256657531,2,8611000,This is our first year of calculation,1,1
Córdoba,Argentina,Latin America,1,0,2016,1,2,1,1,1,4814594,0,3.366848951,2,1430000,Decreased,1,1
New HavenÂ ,United States of America,North America,1,0,2015,1,2,1,1,1,1143288,1,8.726456715,1,131014,Decreased,1,1
West Hollywood,United States of America,North America,1,0,2018,1,2,1,1,1,583213,2,16.95435914,0,34399,Decreased,1,1
Banda Aceh,Indonesia,Southeast Asia and Oceania,1,0,2013,1,1,2,1,1,Not reported,1,Not reported,1,259913,Increased,1,1
Bellingham,United States of America,North America,1,0,2015,1,2,1,1,1,Not reported,1,Not reported,1,86570,Not able to calculate,1,1
Blitar City,Indonesia,Southeast Asia and Oceania,1,0,2011,1,1,2,1,1,Not reported,1,Not reported,1,140971,Increased,1,1
Des Moines,United States of America,North America,1,0,2017,1,2,1,1,1,Not reported,1,Not reported,1,229062,Increased,1,1
Fredensborg,Denmark,Europe,1,0,2018,1,1,2,1,1,Not reported,1,Not reported,1,40865,Increased,1,1
Fresno,United States of America,North America,1,0,2010,1,2,1,1,1,Not reported,1,Not reported,1,527438,Do not know,1,1
"Greenbelt, MD",United States of America,North America,1,0,2018,1,2,1,1,1,Not reported,1,Not reported,1,23000,Decreased,1,1
Hutt City,New Zealand,Southeast Asia and Oceania,1,0,2013,1,2,1,1,1,Not reported,1,Not reported,1,104700,This is our first year of calculation,1,1
Klaipeda,Lithuania,Europe,1,0,2018,1,1,2,1,1,Not reported,1,Not reported,1,147892,Stayed the same,1,1
"Lexington, MA",United States of America,North America,1,0,2016,1,1,2,1,1,Not reported,1,Not reported,1,31394,Decreased,1,1
Middelfart,Denmark,Europe,1,0,2015,1,1,2,1,1,Not reported,1,Not reported,1,38553,Decreased,1,1
Miramar,United States of America,North America,1,0,2014,1,2,1,1,1,Not reported,1,Not reported,1,140823,This is our first year of calculation,1,1
Municipalidad Distrital de Ate,Peru,Latin America,1,0,None reported,0,1,3,1,1,Not reported,1,Not reported,1,647000,Not able to calculate,1,1
Northampton,United States of America,North America,1,0,2016,1,2,1,1,1,Not reported,1,Not reported,1,28549,This is our first year of calculation,1,1
Panamá,Panama,Latin America,1,0,2018,1,2,1,1,1,Not reported,1,Not reported,1,1162659,This is our first year of calculation,1,1
Petaling Jaya,Malaysia,Southeast Asia and Oceania,1,0,2014,1,2,1,1,1,Not reported,1,Not reported,1,658611,Do not know,1,1
Prefeitura de Pedreira,Brazil,Latin America,1,0,2020,2,2,0,1,1,Not reported,1,Not reported,1,47321,Not able to calculate,1,1
Prefeitura de Vila Nova dos Martìrios,Brazil,Latin America,1,0,2020,2,2,0,1,1,Not reported,1,Not reported,1,11258,Not able to calculate,1,1
Roskilde,Denmark,Europe,1,0,2016,1,2,1,1,1,Not reported,1,Not reported,1,87542,Decreased,1,1
Santa Marta,Colombia,Latin America,1,0,2016,1,1,2,1,1,Not reported,1,Not reported,1,507324,Not able to calculate,1,1
Sudbury,Canada,North America,1,0,2016,1,2,1,1,1,Not reported,1,Not reported,1,161531,Not able to calculate,1,1
Tallinn,Estonia,Europe,1,0,2020,2,1,1,1,1,Not reported,1,Not reported,1,445024,Do not know,1,1
Tuguegarao City,Philippines,Southeast Asia and Oceania,1,0,2017,1,1,2,1,1,Not reported,1,Not reported,1,165700,Not able to calculate,1,1
Buenos Aires,Argentina,Latin America,1,0,2017,1,2,3,1,1.5,13100079,0,4.275862283,1,3063728,Decreased,0.5,1
Johannesburg,South Africa,Africa,1,0,2016,1,2,3,1,1.5,24716713,0,4.306047561,1,5740000,Decreased,0.5,1
Cape Town,South Africa,Africa,1,0,2018,1,2,3,1,1.5,21145125.41,0,4.805448205,1,4400240,Decreased,0.5,1
Durban,South Africa,Africa,1,0,2018,1,2,3,1,1.5,22154154,0,5.653209617,1,3918863,Increased,0.5,1
San Francisco,United States of America,North America,1,0,2018,1,2,3,1,1.5,5005860.76,0,5.667193959,1,883305,Increased,0.5,1
PingtungÂ County,"Taiwan, Greater China",East Asia,1,0,2016,1,2,3,1,1.5,4682213.96,0,5.694253664,1,822270,Increased,0.5,1
Ottawa,Canada,North America,1,0,2018,1,2,3,1,1.5,6017000,0,6.069017549,1,991429,Decreased,0.5,1
Toronto,Canada,North America,1,0,2018,1,2,3,1,1.5,18078458,0,6.191314229,1,2919971,Increased,0.5,1
Pretoria - Tshwane,South Africa,Africa,1,0,2016,1,2,3,1,1.5,21426358,0,6.480663892,1,3306198,Do not know,0.5,1
Los Angeles,United States of America,North America,1,0,2018,1,2,3,1,1.5,28922796,0,7.192063236,1,4021488,Increased,0.5,1
Wroclaw,Poland,Europe,1,0,2017,1,2,3,1,1.5,4654742,0,7.266222292,1,640600,Increased,0.5,1
Winnipeg,Canada,North America,1,0,2011,1,2,3,1,1.5,5379024,0,7.775403296,1,691800,This is our first year of calculation,0.5,1
Boston,United States of America,North America,1,0,2018,1,2,3,1,1.5,6146099,0,8.831540997,1,695926,Increased,0.5,1
Mississauga,Canada,North America,1,0,2018,1,2,3,1,1.5,6600475.713,0,9.147013387,1,721599,Increased,0.5,1
Phoenix,United States of America,North America,1,0,2018,1,2,3,1,1.5,15447378,0,9.304124866,1,1660272,Decreased,0.5,1
"Portland, OR",United States of America,North America,1,0,2018,1,2,3,1,1.5,7701120,0,9.485539735,1,811880,Decreased,0.5,1
Minneapolis,United States of America,North America,1,0,2018,1,2,3,1,1.5,4299864,1,10.10774254,0,425403,Increased,0.5,1
St. Petersburg,United States of America,North America,1,0,2016,1,2,3,1,1.5,2693166,1,10.12468421,0,266000,Do not know,0.5,1
Cambridge,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,1462236,1,11.70547315,0,124919,This is our first year of calculation,0.5,1
Venezia,Italy,Europe,1,0,2018,1,2,3,1,1.5,3103390,1,11.97526529,0,259150,Decreased,0.5,1
Fort Collins,United States of America,North America,1,0,2017,1,2,3,1,1.5,2043293,1,12.01230453,0,170100,Decreased,0.5,1
Anchorage,United States of America,North America,1,0,2015,1,2,3,1,1.5,3557393,1,12.04405735,0,295365,This is our first year of calculation,0.5,1
Santa Monica,United States of America,North America,1,0,2018,1,2,3,1,1.5,1110480,1,12.14820973,0,91411,Decreased,0.5,1
Port Phillip,Australia,Southeast Asia and Oceania,1,0,2018,1,2,3,1,1.5,1423300,1,12.31217723,0,115601,Do not know,0.5,1
West Palm Beach,United States of America,North America,1,0,2018,1,2,3,1,1.5,1484767,1,12.89128812,0,115176,Decreased,0.5,1
Wyndham,Australia,Southeast Asia and Oceania,1,0,2017,1,2,3,1,1.5,3402006.54,1,13.32437683,0,255322,Not able to calculate,0.5,1
"Cambridge, MA",United States of America,North America,1,0,2012,1,2,3,1,1.5,1462236,1,13.33013656,0,109694,This is our first year of calculation,0.5,1
"Richmond, VA",United States of America,North America,1,0,2018,1,2,3,1,1.5,3152498,1,13.68057942,0,230436,Decreased,0.5,1
Steve Tshwete,South Africa,Africa,1,0,2017,1,2,3,1,1.5,3967565,1,14.2334681,0,278749,Increased,0.5,1
Wollongong,Australia,Southeast Asia and Oceania,1,0,2017,1,2,3,1,1.5,3091346,1,14.30708425,0,216071,This is our first year of calculation,0.5,1
Boulder,United States of America,North America,1,0,2018,1,2,3,1,1.5,1598862,1,14.92868347,0,107100,Decreased,0.5,1
"Portland, ME",United States of America,North America,1,0,2017,1,2,3,1,1.5,1142797,1,17.0727251,0,66937,Not able to calculate,0.5,1
Bloomington,United States of America,North America,1,0,2018,1,2,3,1,1.5,1639657,1,19.12024955,0,85755,Do not know,0.5,1
Roanoke,United States of America,North America,1,0,2017,1,2,3,1,1.5,1971679,1,19.73257606,0,99920,Stayed the same,0.5,1
"Columbia, MO",United States of America,North America,1,0,2018,1,2,3,1,1.5,2435589.11,1,19.73543181,0,123412,Decreased,0.5,1
Savannah,United States of America,North America,1,0,2014,1,2,3,1,1.5,3609546,1,24.77824457,0,145674,Not able to calculate,0.5,1
St Louis,United States of America,North America,1,0,2018,1,2,5,2,2,7203267,0,23.78587562,0,302838,Decreased,0,1
Iasi,Romania,Europe,1,0,2019,2,1,1,1,1,Not reported,1,Not reported,1,793559,This is our first year of calculation,1,1
La Crosse,United States of America,North America,1,0,2019,2,1,1,1,1,Not reported,1,Not reported,1,51320,Increased,1,1
Le Havre,France,Europe,1,0,2019,2,1,1,1,1,Not reported,1,Not reported,1,172769,Decreased,1,1
Plymouth,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2019,2,1,1,1,1,Not reported,1,Not reported,1,256384,Increased,1,1
Providencia,Chile,Latin America,1,0,2019,2,1,1,1,1,Not reported,1,Not reported,1,142079,Increased,1,1
Riga,Latvia,Europe,1,0,2019,2,1,1,1,1,Not reported,1,Not reported,1,627487,Not able to calculate,1,1
Rionegro,Colombia,Latin America,1,0,2019,2,1,1,1,1,Not reported,1,Not reported,1,142078,Increased,1,1
Southend-on-Sea,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2021,2,1,1,1,1,Not reported,1,Not reported,1,182463,Not able to calculate,1,1
