City,Country,CDP Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGCPorICLEIProtocolScore,NumberOfGHGReported,GHGScore,TransparancyScore,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,EmissionsImpactScore,OverallScore
Balcarce,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,45408,This is our first year of calculation,1,1.25
Balikpapan,Indonesia,Southeast Asia and Oceania,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,655178,Decreased,1,1.25
Bangkok,Thailand,Southeast Asia and Oceania,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,8420887,Stayed the same,1,1.25
Bath,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,192106,Do not know,1,1.25
Bekasi City,Indonesia,Southeast Asia and Oceania,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,2873484,Increased,1,1.25
Bournemouth,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,395300,This is our first year of calculation,1,1.25
Boynton Beach,United States of America,North America,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,77696,This is our first year of calculation,1,1.25
Bristol,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,463400,Decreased,1,1.25
Camilo Aldao,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,5209,Increased,1,1.25
Campinas,Brazil,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,1204073,This is our first year of calculation,1,1.25
Carcarana,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,16432,Not able to calculate,1,1.25
Carlos Tejedor,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,11570,This is our first year of calculation,1,1.25
Caseros,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,2339,Decreased,1,1.25
Celaya,Mexico,Latin America,1,0,2013,1,1,4,2,1.5,Not reported,1,Not reported,1,494304,Increased,1,1.25
ceres,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,16731,This is our first year of calculation,1,1.25
Cerrito,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,6874,This is our first year of calculation,1,1.25
Chacabuco,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,51962,Decreased,1,1.25
Chañar Ladeado,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,5415,Not able to calculate,1,1.25
Chañaritos,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,219,This is our first year of calculation,1,1.25
Ciudad Madero,Mexico,Latin America,1,0,2015,1,2,3,1,1.5,Not reported,1,Not reported,1,220000,Not able to calculate,1,1.25
Coimbatore,India,South and West Asia,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,1601438,Decreased,1,1.25
Correa,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,6171,Decreased,1,1.25
Cosquìn,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,19815,Not able to calculate,1,1.25
Crespo,Argentina,Latin America,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,21338,This is our first year of calculation,1,1.25
