Ranking,City,Country,Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGcpProtocolScore,NumberOfGhgReported,GhgScore,Transparency,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,TrajectoryScore,Emissions,Overall
706,Pingtung ,Taiwan,East Asia,1,0,2013,3,5,0,3,55,4662550,0,5.578600369,3,835792,Increased,,30,42.5
706,Brownsville,United States of America,North America,1,0,2016,3,5,0,3,55,2165653,3,11.77708593,0,183887,Not able to calculate,,30,42.5
706,Sydney,Australia,South Asia and Oceania,1,0,2016,3,5,0,3,55,3783982,3,17.93943043,0,210931,Decreased,,30,42.5
706,Melbourne,Australia,South Asia and Oceania,1,0,2015,3,5,0,3,55,4372420,3,31.70970853,0,137889,Decreased,,30,42.5
753,Taoyuan,Taiwan/ Greater China,East Asia,5,5,2017,3,3,7,5,80,35764526,0,16.34563443,0,2188017,Increased,,0,40
753,Santiago de Guayaquil,Ecuador,Latin America,1,0,2014,3,0,0,3,30,6787374,0,2.781080354,5,2440553,Not able to calculate,,50,40
755,Taipei,Taiwan/ Greater China,East Asia,1,0,2018,3,3,3,3,45,12391612,0,4.684846851,3,2645041,Decreased,,30,37.5
755,Mannheim,Germany,Europe,1,0,2018,3,3,3,3,45,3806000,3,12.17055404,0,312722,Increased,,30,37.5
755,Caracas,Venezuela,Latin America,1,0,2015,3,3,1,3,45,17774776,0,5.051675813,3,3518590,Increased,,30,37.5
755,Warsaw,Poland,Europe,1,0,2016,3,3,1,3,45,11721774,0,6.624233906,3,1769529,Increased,,30,37.5
755,Alcaldía Metropolitana de Caracas,Venezuela,Latin America,1,0,2015,3,3,0,3,45,17774776,0,5.051675813,3,3518590,Increased,,30,37.5
755,Hiroshima,Japan,East Asia,1,0,2014,3,3,0,3,45,8675437,0,7.283978573,3,1191030,Not able to calculate,,30,37.5
755,City of Winnipeg,Canada,North America,1,0,1998,3,3,0,3,45,5257325,0,7.318102728,3,718400,Decreased,,30,37.5
755,Okayama,Japan,East Asia,1,0,2013,3,3,0,3,45,6916000,0,9.797185788,3,705917,Not able to calculate,,30,37.5
755,Ferrara,Italy,Europe,1,0,2007,3,3,0,3,45,1582605,3,11.88543524,0,133155,Decreased,,30,37.5
755,Key West,United States of America,North America,1,0,None reported,0,0,2,3,15,Not reported,3,Not reported,3,24565,Not able to calculate,,60,37.5
755,Prefeitura de Monteiro Lobato,Brazil,Latin America,1,0,None reported,0,0,2,3,15,Not reported,3,Not reported,3,4120,Not able to calculate,,60,37.5
755,Degollado,Mexico,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,0,Not able to calculate,,60,37.5
755,Abuja,Nigeria,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,3278000,Not able to calculate,,60,37.5
755,Adana,Turkey,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,2200000,Not able to calculate,,60,37.5
755,Ahmedabad,India,South and West Asia,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,6802283,Not able to calculate,,60,37.5
755,Alajuela,Costa Rica,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,297879,Not able to calculate,,60,37.5
755,Alba-Iulia,Romania,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,74000,Not able to calculate,,60,37.5
755,Alcaldìa de Villavicencio,Colombia,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,545302,Not able to calculate,,60,37.5
755,Alcaldìa de Yopal,Colombia,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,152655,Not able to calculate,,60,37.5
755,Amarante,Portugal,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,56217,Not able to calculate,,60,37.5
755,Angra dos Reis,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,169511,Not able to calculate,,60,37.5
755,Antananarivo,Madagascar,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,3209933,Not able to calculate,,60,37.5
755,Aparecida,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,36279,Not able to calculate,,60,37.5
755,Aparecida de Goiânia,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,542090,Not able to calculate,,60,37.5
755,Araçatuba,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,195874,Not able to calculate,,60,37.5
755,Archipiélago de San Andrés,Colombia,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,120000,Not able to calculate,,60,37.5
755,Arequipa,Peru,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,1009132,Not able to calculate,,60,37.5
755,Asheville,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,92870,Not able to calculate,,60,37.5
755,Ataliva,Argentina,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,2500,Not able to calculate,,60,37.5
755,Aurora,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,200965,Not able to calculate,,60,37.5
755,Baguio City,Philippines,Southeast Asia and Oceania,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,345366,Not able to calculate,,60,37.5
755,Bakata,Burkina Faso,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,39308,Not able to calculate,,60,37.5
755,Bangalore,India,South and West Asia,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,13000000,Not able to calculate,,60,37.5
755,Bani-Suhaila,State of Palestine,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,42000,Not able to calculate,,60,37.5
